date_ny,S_open,S_close,call_ticker,put_ticker,strike_call,strike_put,expiry,days_to_exp,call_vol,put_vol,total_vol,call_price,put_price,call_iv,put_iv,avg_iv,call_vega,put_vega,avg_vega
2023-02-01,405.211,410.8,O:SPY230202C00411000,O:SPY230202P00411000,411.0,411.0,2023-02-02,1,70834,21542,92376,2.16,1.52,0.2632334567189217,0.165235243332386,0.2142343500256538,0.0857469075996396,0.0856658942810792,0.0857064009403594
2023-02-02,414.86,416.78,O:SPY230203C00417000,O:SPY230203P00417000,417.0,417.0,2023-02-03,1,113802,48099,161901,1.42,4.01,0.175465562748909,0.4478982857644559,0.3116819242566824,0.0869087703287039,0.0870252408760306,0.0869670056023673
2023-02-03,411.59,412.35,O:SPY230206C00412000,O:SPY230206P00412000,412.0,412.0,2023-02-06,3,56106,114648,170754,1.75,1.56,0.1052351548552513,0.1160067260086536,0.1106209404319524,0.148484367876849,0.1485881892355957,0.1485362785562223
2023-02-06,409.79,409.83,O:SPY230207C00410000,O:SPY230207P00410000,410.0,410.0,2023-02-07,1,107879,79499,187378,2.03,2.07,0.2469633615612983,0.2317671870946884,0.2393652743279933,0.0855509538583316,0.0855452043354547,0.0855480790968932
2023-02-07,408.87,415.19,O:SPY230208C00415000,O:SPY230208P00415000,415.0,415.0,2023-02-08,1,130701,31737,162438,1.36,1.92,0.1456797304630279,0.2323052202880382,0.1889924753755331,0.0865217927885961,0.0866154543973464,0.0865686235929712
2023-02-08,413.13,410.65,O:SPY230209C00411000,O:SPY230209P00411000,411.0,411.0,2023-02-09,1,74379,88370,162749,1.54,1.96,0.1992505994319915,0.2074367860913276,0.2033436927616596,0.085499888214647,0.0855218645736301,0.0855108763941385
2023-02-09,414.41,407.09,O:SPY230210C00407000,O:SPY230210P00407000,407.0,407.0,2023-02-10,1,37467,131907,169374,1.86,1.71,0.2134951578617096,0.206434388589859,0.2099647732257843,0.0849795184753894,0.084978447419633,0.0849789829475112
2023-02-10,405.86,408.04,O:SPY230213C00408000,O:SPY230213P00408000,408.0,408.0,2023-02-13,3,157695,58905,216600,1.82,1.89,0.1219697037249803,0.1294240293473005,0.1256968665361404,0.1475645392849146,0.1475649039758764,0.1475647216303955
2023-02-13,408.72,412.83,O:SPY230214C00413000,O:SPY230214P00413000,413.0,413.0,2023-02-14,1,62362,10815,73177,3.39,3.3,0.4029543651103973,0.3727923208475113,0.3878733429789542,0.086202010510443,0.0861999362972943,0.0862009734038687
2023-02-14,411.24,412.64,O:SPY230215C00413000,O:SPY230215P00413000,413.0,413.0,2023-02-15,1,106500,60917,167417,1.46,2.01,0.1895166509509086,0.2116343032777309,0.2005754771143197,0.0858698708298641,0.0859353654248615,0.0859026181273628
2023-02-15,410.35,413.98,O:SPY230216C00414000,O:SPY230216P00414000,414.0,414.0,2023-02-16,1,80457,14336,94793,1.74,1.43,0.2024333813667297,0.1642589517951011,0.1833461665809154,0.0864455964887411,0.0864455447394617,0.0864455706141014
2023-02-16,408.79,408.28,O:SPY230217C00408000,O:SPY230217P00408000,408.0,408.0,2023-02-17,1,22776,143066,165842,2.15,1.95,0.2354799558639526,0.2448809638977051,0.2401804598808288,0.0850926005890734,0.0851023956072561,0.0850974980981648
